virus	fullname	RefSeq
chikv	Chikungunya virus	NC_004162.2
dengue2	Dengus virus 2	NC_001474.2
enterov1	Enterovirus A71	NC_001612.1
HCV1a	hepacivirus 1a	NC_004102.1
HIV2	human immunodeficiency virus 2	NC_001722.1
IAVH9N2	influenza A virus H9N2	NC_004905,NC_004906,NC_004907,NC_004908,NC_004909,NC_004910,NC_004911,NC_004912
IBV	influenza B virus	NC_002204,NC_002205,NC_002206,NC_002207,NC_002208,NC_002209,NC_002210,NC_002211
lyssavirus	Lyssavirus rabies	NC_001542.1
Mastro1	Mamastrovirus 1	NC_030922.1
measles	measles virus	NC_001498.1
mumps	Mumps orthorubulavirus	NC_002200.1
orthobornavirus	orthobornavirus	NC_030692.1
polio	poliovirus	NC_002058.3
PotatoY	potato virus Y	NC_001616.1
RhinoA	rhinovirus A	NC_001617.1
RotaA	rotavirus A	NC_011500,NC_011501,NC_011502,NC_011503,NC_011504,NC_011505,NC_011506,NC_011507,NC_011508,NC_011509
rsv	respiratory syncytial virus A	NC_001803.1
VEEV	venezuelan equine encephalitis virus	NC_075022.1
wnv	west Nile virus	NC_009942.1
zika	Zika virus	NC_035889.1
